Data,Desenvolvedor,Linhas_Adicionadas,Linhas_Removidas,Bugs_Gerados
2026-01-01,Ana,455,116,9
2026-01-02,João,425,99,4
2026-01-02,Ana,53,267,6
2026-01-02,Marina,233,21,0
2026-01-02,Ana,450,43,0
2026-01-02,Marina,277,162,7
2026-01-03,João,234,103,5
2026-01-03,Ana,179,152,9
2026-01-03,Carlos,122,101,9
2026-01-04,Carlos,229,8,4
2026-01-04,Ana,494,53,4
2026-01-04,Ana,139,10,5
2026-01-04,Ana,95,152,5
2026-01-04,Marina,169,293,7
2026-01-05,Marina,316,157,0
2026-01-06,Carlos,394,224,9
2026-01-06,Ana,117,103,5
2026-01-07,Ana,324,165,4
2026-01-07,João,181,167,9
2026-01-07,Marina,110,287,0
2026-01-07,Carlos,105,251,2
2026-01-07,Carlos,180,202,8
2026-01-08,Ana,90,281,9
2026-01-08,Carlos,293,256,6
2026-01-08,Marina,352,196,8
2026-01-08,João,240,298,0
2026-01-09,Carlos,472,173,5
2026-01-09,João,327,180,3
2026-01-10,João,135,50,1
2026-01-10,Marina,292,151,0
2026-01-11,João,336,128,7
2026-01-11,Marina,416,259,6
2026-01-11,Carlos,169,205,2
2026-01-12,João,240,41,9
2026-01-12,Carlos,420,108,9
2026-01-12,Ana,340,64,2
2026-01-12,João,293,271,0
2026-01-12,Ana,207,185,6
2026-01-12,Carlos,122,31,7
2026-01-14,Marina,11,288,4
2026-01-14,João,242,199,6
2026-01-15,Ana,196,290,6
2026-01-15,Ana,368,120,5
2026-01-15,Carlos,494,127,4
2026-01-15,João,470,58,1
2026-01-15,Marina,396,55,9
2026-01-16,Ana,125,156,6
2026-01-17,João,234,13,8
2026-01-17,Marina,139,151,9
2026-01-18,João,383,72,0
2026-01-18,Marina,63,39,6
2026-01-18,João,227,41,4
2026-01-18,Ana,189,132,3
2026-01-19,Ana,243,198,3
2026-01-19,João,45,148,5
2026-01-19,Ana,465,117,8
2026-01-20,Carlos,327,231,9
2026-01-20,Carlos,397,207,0
2026-01-20,Marina,304,42,3
2026-01-21,João,252,263,1
2026-01-21,Marina,295,148,6
2026-01-21,João,152,102,1
2026-01-21,Carlos,61,242,6
2026-01-21,Carlos,71,132,9
2026-01-21,João,161,212,5
2026-01-22,Marina,357,258,8
2026-01-22,João,54,203,1
2026-01-22,Marina,62,103,8
2026-01-22,Carlos,412,162,0
2026-01-23,Marina,146,258,5
2026-01-23,Ana,22,101,9
2026-01-24,Ana,196,191,7
2026-01-24,João,143,133,7
2026-01-24,Marina,75,151,1
2026-01-25,Ana,174,116,9
2026-01-25,Ana,199,164,6
2026-01-25,Marina,105,281,4
2026-01-26,João,451,26,2
2026-01-26,Ana,137,6,1
2026-01-26,Marina,122,37,5
2026-01-26,Marina,169,284,0
2026-01-26,Marina,38,244,9
2026-01-27,João,394,237,3
2026-01-27,João,386,103,3
2026-01-28,Ana,349,256,9
2026-01-28,Carlos,481,139,4
2026-01-28,Ana,122,268,2
2026-01-28,Ana,395,234,1
2026-01-28,Marina,455,212,7
2026-01-28,Marina,130,135,2
2026-01-29,Marina,449,230,2
2026-01-29,João,231,188,3
2026-01-29,Marina,181,237,7
2026-01-29,Ana,482,144,7
2026-01-29,Marina,246,284,2
2026-01-30,João,37,155,8
2026-01-30,Marina,234,176,9
2026-01-30,Marina,207,79,2
2026-01-30,Marina,242,124,1
2026-01-30,Marina,268,165,6
